alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
NIMONIC* 90,21.0,wrought,ML_ONLY,SUCCESS,621.34824565291,810.0,942.0939529819955,1235.0,24.541827701728312,33.0,207.88093505938713,226.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,93.0,wrought,ML_ONLY,SUCCESS,618.0243625962694,,941.7868240757452,,24.318364643256633,,206.4851905309646,219.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,204.0,wrought,ML_ONLY,SUCCESS,617.4424406656717,,940.5905062919568,,24.242945356371433,,201.25877774746994,213.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,316.0,wrought,ML_ONLY,SUCCESS,617.2129072147602,,937.5254084572821,,24.279722260436706,,195.5258454966237,206.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,427.0,wrought,ML_ONLY,SUCCESS,617.2129072147602,,937.525408457282,,24.279722260436706,,190.60323818221,199.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,538.0,wrought,ML_ONLY,SUCCESS,581.1070722538227,725.0,898.3148676857976,1075.0,23.955867087001103,28.0,177.7647411720688,190.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,649.0,wrought,ML_ONLY,SUCCESS,572.7849537992911,685.0,850.756435419755,940.0,22.312902046026466,14.0,169.33875407630973,181.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,760.0,wrought,ML_ONLY,SUCCESS,536.4663124622209,540.0,739.4265780095888,655.0,22.58058451248613,12.0,162.58312942512288,170.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,871.0,wrought,ML_ONLY,SUCCESS,340.27509942081576,260.0,415.0997036066,330.0,24.56795651907676,23.0,150.8024720463988,158.0,7.98,14.6,MEDIUM,UNKNOWN,0
NIMONIC* 90,982.0,wrought,ML_ONLY,SUCCESS,204.90336509641966,62.0,276.5269790865692,76.0,28.907928923272614,70.0,140.45587588619233,144.0,7.98,14.6,MEDIUM,UNKNOWN,0
RGT* 13,21.0,wrought,ML_ONLY,SUCCESS,709.9934511881565,780.0,1147.6645954715168,1230.0,21.860681246778014,30.0,213.41937019361754,,8.03,16.7,MEDIUM,UNKNOWN,0
RGT* 13,538.0,wrought,ML_ONLY,SUCCESS,666.1309980214685,745.0,1112.7443785080882,1105.0,21.619705464884316,29.0,182.41106734609514,,8.03,16.7,MEDIUM,UNKNOWN,0
RGT* 13,649.0,wrought,ML_ONLY,SUCCESS,663.3888835187238,725.0,1067.0744735654123,1005.0,20.10197773722888,26.0,174.35603860527982,,8.03,16.7,MEDIUM,UNKNOWN,0
RGT* 13,760.0,wrought,ML_ONLY,SUCCESS,633.4682085411893,600.0,925.8583224176552,775.0,19.958919386403885,18.0,166.7569015199296,,8.03,16.7,MEDIUM,UNKNOWN,0
RGT* 13,871.0,wrought,ML_ONLY,SUCCESS,395.84292334743736,-435.0,485.35529939789876,565.0,22.729668692852137,17.0,152.96194921349198,,8.03,16.7,MEDIUM,UNKNOWN,0
UDIMET* 520,21.0,wrought,ML_ONLY,SUCCESS,817.8670502098564,860.0,1200.1569094227157,1310.0,21.234304005559483,21.0,208.87805674339046,,7.94,27.5,MEDIUM,UNKNOWN,0
UDIMET* 520,538.0,wrought,ML_ONLY,SUCCESS,771.0843165364606,830.0,1167.6051200696018,1240.0,20.611534350175496,20.0,177.2256603626875,,7.94,27.5,MEDIUM,UNKNOWN,0
UDIMET* 520,649.0,wrought,ML_ONLY,SUCCESS,765.9731238572036,795.0,1121.8840597704352,1175.0,19.48139985941343,17.0,169.15739983933872,,7.94,27.5,MEDIUM,UNKNOWN,0
UDIMET* 520,760.0,wrought,ML_ONLY,SUCCESS,747.1479764387364,725.0,975.34868309483,725.0,20.84071778368338,15.0,161.94158052928475,,7.94,27.5,MEDIUM,UNKNOWN,0
UDIMET* 520,871.0,wrought,ML_ONLY,SUCCESS,486.11996929306605,520.0,545.2976349085878,515.0,23.312024182075856,20.0,149.97943524627811,,7.94,27.5,MEDIUM,UNKNOWN,0
UDIMET* 520,982.0,wrought,ML_ONLY,SUCCESS,293.56410711719786,310.0,350.2611118906511,310.0,29.25950963022484,,140.6786178936476,,7.94,27.5,MEDIUM,UNKNOWN,0
D-979,21.0,wrought,ML_ONLY,SUCCESS,1025.1661115012434,1005.0,1289.61803244681,1410.0,15.924845033752693,15.0,198.90124499426383,207.0,8.05,29.4,MEDIUM,UNKNOWN,0
D-979,93.0,wrought,ML_ONLY,SUCCESS,1024.1619611106184,,1289.5331325444663,,15.939487749206796,,197.35811271700504,206.0,8.05,29.4,MEDIUM,UNKNOWN,0
D-979,204.0,wrought,ML_ONLY,SUCCESS,1024.086252564186,,1288.8512008542739,,15.953987907055208,,192.4323939622938,202.0,8.05,29.4,MEDIUM,UNKNOWN,0
D-979,316.0,wrought,ML_ONLY,SUCCESS,1022.9360639736019,,1287.2572374594135,,15.933463576385574,,185.85773159574046,197.0,8.05,29.4,MEDIUM,UNKNOWN,0
D-979,427.0,wrought,ML_ONLY,SUCCESS,1022.9360639736019,,1287.2572374594135,,15.933463576385574,,180.7260523118608,190.0,8.05,29.4,MEDIUM,UNKNOWN,0
D-979,538.0,wrought,ML_ONLY,SUCCESS,989.8209516689144,925.0,1264.8291979086323,1295.0,15.624927712569487,15.0,170.41521044203677,178.0,8.05,29.4,MEDIUM,UNKNOWN,0
D-979,649.0,wrought,ML_ONLY,SUCCESS,983.4593306889699,890.0,1221.0645451523874,1105.0,14.166121830835586,21.0,162.1848104355263,167.0,8.05,29.4,MEDIUM,UNKNOWN,0
D-979,760.0,wrought,ML_ONLY,SUCCESS,933.0107514963871,655.0,1048.8702225876762,720.0,14.9678039384514,17.0,155.89706156777692,156.0,8.05,29.4,MEDIUM,UNKNOWN,0
D-979,871.0,wrought,ML_ONLY,SUCCESS,613.8290829284354,305.0,573.269475742449,345.0,17.782933052589442,18.0,142.65090976869192,146.0,8.05,29.4,MEDIUM,UNKNOWN,0
NIMONIC* 81,21.0,wrought,ML_ONLY,SUCCESS,566.9600343418099,600.0,896.7383447307839,1050.0,29.77949475625574,36.0,197.84102010652592,196.0,7.95,5.5,MEDIUM,UNKNOWN,0
NIMONIC* 81,93.0,wrought,ML_ONLY,SUCCESS,559.0887880039193,,896.4312158245339,,29.639119618926642,,197.03644536729269,194.0,7.95,5.5,MEDIUM,UNKNOWN,0
