alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,1204.0,wrought,ML_ONLY,SUCCESS,160.08868871187786,26.0,212.45273957342243,37.0,52.02970037208458,31.0,136.0161102666924,,8.31,0.0,MEDIUM,UNKNOWN,0
Haynes 625 alloy,20.0,wrought,ML_ONLY,SUCCESS,472.9064835988501,490.0,852.5461212639502,905.0,40.12879959809737,48.5,203.864139848682,208.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,100.0,wrought,ML_ONLY,SUCCESS,470.1254777394751,,852.037759447544,,40.11393944489913,,202.5247179109416,201.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,200.0,wrought,ML_ONLY,SUCCESS,470.01807415535984,,851.1032972642984,,40.16523447927739,,200.92911756658071,199.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,300.0,wrought,ML_ONLY,SUCCESS,467.96230567876785,,842.1830783600843,,40.16523447927739,,195.30559260187363,192.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,400.0,wrought,ML_ONLY,SUCCESS,467.2020764188361,,841.6062205841376,,40.16523447927739,,189.75476397154756,186.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,500.0,wrought,ML_ONLY,SUCCESS,466.68407892643086,,841.6062205841376,,40.16523447927739,,181.95366082631978,179.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,540.0,wrought,ML_ONLY,SUCCESS,427.861843819009,370.0,793.5366099884345,770.0,39.967425259917036,54.0,179.43819604360493,,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,600.0,wrought,ML_ONLY,SUCCESS,425.852930149386,,778.7827846877206,,39.9537117141751,,175.34646745462504,171.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,650.0,wrought,ML_ONLY,SUCCESS,416.5974064677453,370.0,735.7775661818612,760.0,38.923978056338186,55.6,171.01693101663676,,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,700.0,wrought,ML_ONLY,SUCCESS,416.5974064677454,,735.7775661818612,,38.923978056338186,,171.01693101663676,163.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,760.0,wrought,ML_ONLY,SUCCESS,393.3406286256562,345.0,614.3794230310041,600.0,38.91363800800336,53.1,163.3164414400885,,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,800.0,wrought,ML_ONLY,SUCCESS,380.0947790162812,,608.1443461267072,,39.03426827228559,,162.67064371059632,153.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,870.0,wrought,ML_ONLY,SUCCESS,317.02538371703145,205.0,441.7838014442227,345.0,39.02892962221827,45.9,155.97102718968526,,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,900.0,wrought,ML_ONLY,SUCCESS,261.2693641247463,,329.5842622596524,,39.891976268336435,,150.22201901097432,142.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,980.0,wrought,ML_ONLY,SUCCESS,233.27545209668898,83.0,292.67468941434066,165.0,40.18414698514241,43.8,146.70300176390623,,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,1000.0,wrought,ML_ONLY,SUCCESS,167.93981214307567,,226.4288703225438,,41.454752072422686,,141.19557836302732,126.0,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 625 alloy,1095.0,wrought,ML_ONLY,SUCCESS,167.93981214307567,39.0,226.4288703225438,95.0,41.4626465884139,44.7,139.06099894474505,,8.28,6.6,MEDIUM,UNKNOWN,0
Haynes 718 alloy,20.0,wrought,ML_ONLY,SUCCESS,884.9459130230034,1175.0,1140.4517202403367,1395.0,23.510234962428832,22.3,198.5449826825356,200.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,100.0,wrought,ML_ONLY,SUCCESS,880.664815610894,,1139.9433584239305,,23.524877677882934,,197.6397299420638,199.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,200.0,wrought,ML_ONLY,SUCCESS,880.2010077147844,,1138.6408124536329,,23.588463798286448,,196.10634191017635,191.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,300.0,wrought,ML_ONLY,SUCCESS,878.3888754078207,,1137.6953984781808,,23.588463798286448,,189.84253234329265,185.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,400.0,wrought,ML_ONLY,SUCCESS,878.0417394241724,,1137.6953984781808,,23.588463798286448,,183.6342252701587,179.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,500.0,wrought,ML_ONLY,SUCCESS,877.8826320018939,,1137.6953984781808,,23.55448939167073,,176.49416745565117,173.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,540.0,wrought,ML_ONLY,SUCCESS,830.2602565136126,995.0,1091.7182256266183,1130.0,23.543167370186357,24.4,172.48352445028007,,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,600.0,wrought,ML_ONLY,SUCCESS,826.3729890407013,,1069.6242324858893,,23.3834548740927,,168.45106920273093,167.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,650.0,wrought,ML_ONLY,SUCCESS,805.1172212184356,1000.0,1032.105891421436,1155.0,23.213861063057543,19.9,163.8346064952114,,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,700.0,wrought,ML_ONLY,SUCCESS,805.1172212184357,,1032.1058914214361,,23.213861063057543,,163.8346064952114,159.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,760.0,wrought,ML_ONLY,SUCCESS,747.9685423469066,750.0,885.982822341864,855.0,24.773342230405973,10.2,157.23152676510892,,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,800.0,wrought,ML_ONLY,SUCCESS,736.0940001105785,,878.8252906035827,,24.966329672422575,,156.61839047360505,149.0,8.11,22.2,MEDIUM,UNKNOWN,0
Haynes 718 alloy,870.0,wrought,ML_ONLY,SUCCESS,608.5918017412644,305.0,637.3393190344158,420.0,25.161718323520773,27.7,148.95370065300125,,8.11,22.2,MEDIUM,UNKNOWN,0
